,W01_001,W01_002,W01_003,W01_004,W01_005,W01_006,W01_007,W01_008,W01_009,W01_010,W01_011,W01_012,W01_013,W01_014,geometry
442,荒砥沢,228,北上川,二迫川,ロックフィルダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",74.4,413.7,3048,14130,農林水産省（各地方農政局含む）,1998,宮城県栗原市栗駒文字深山岳,1,POINT (140.8574500519925 38.88552101069504)
443,栗駒,271,北上川,三迫川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,発電",57,182,120,13715,都道府県,1962,宮城県栗原市栗駒字沼倉玉山,1,POINT (140.9188464864892 38.90740355696178)
444,長沼,268,北上川,迫川,アースダム,"洪水調節，農地防災,不特定用水，河川維持用水,レクリエーション",15.3,1050,540,31800,都道府県,2013,宮城県登米市迫町北方,1,POINT (141.1471603739632 38.71077947294095)
445,菅生,251,北上川,小山田川,アースダム,灌漑，特定(新規)灌漑用水,27.6,257.2,397,1500,都道府県,1997,宮城県大崎市菅生,1,POINT (140.8591977848896 38.72387853055545)
446,宿の沢,236,北上川,小山田川,アースダム,灌漑，特定(新規)灌漑用水,26,227.7,205,1210,都道府県,2003,宮城県栗原市高清水,1,POINT (140.9722339441905 38.6719224354195)
447,鳴子,237,北上川,江合川,アーチダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,発電",94.5,215,180,50000,国土交通省（各地方整備局，北海道開発局含む）,1958,宮城県大崎市鳴子温泉字岩淵,1,POINT (140.7047190651025 38.75454365134418)
448,上大沢,267,北上川,上大沢川,アースダム,"洪水調節，農地防災,上水道用水",19,228.5,202,410,都道府県,2003,宮城県大崎市鳴子温泉鬼首字三杉地先,1,POINT (140.6389150934339 38.79779710493719)
449,岩堂沢,272,北上川,岩堂沢,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,68,200,235,13480,農林水産省（各地方農政局含む）,2009,宮城県大崎市鳴子温泉岩堂沢,1,POINT (140.6384659217859 38.69664865196031)
450,化女沼,232,北上川,長者川,アースダム,"洪水調節，農地防災,不特定用水，河川維持用水",24,260,228,3020,都道府県,1995,宮城県大崎市古川川熊字苔の谷地,1,POINT (140.9640632594686 38.62695147413864)
451,漆沢,283,鳴瀬川,鳴瀬川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,工業用水道用水,発電",80,310,2200,18000,都道府県,1980,宮城県加美郡加美町字漆沢,1,POINT (140.6409767544592 38.57163048549103)
452,筒砂子,273,鳴瀬川,筒砂子川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水",114.5,402,5763,45700,国土交通省（各地方整備局，北海道開発局含む）,-,宮城県加美郡加美町字宇津野,4,POINT (140.6446967854847 38.58310965555908)
453,孫沢溜池,276,鳴瀬川,孫沢川,アースダム,灌漑，特定(新規)灌漑用水,16.5,202.4,25,954,土地改良区,1937,宮城県加美郡加美町孫沢,1,POINT (140.8177872660971 38.6066542737298)
454,二ツ石,279,鳴瀬川,二ツ石川,ロックフィルダム,灌漑，特定(新規)灌漑用水,70.5,439,2256,10600,農林水産省（各地方農政局含む）,2009,宮城県加美郡加美町,1,POINT (140.6564659786489 38.63759743144371)
455,保野川,280,鳴瀬川,保野川,ロックフィルダム,灌漑，特定(新規)灌漑用水,41.4,223,361,360,都道府県,1999,宮城県加美郡色麻町小栗山字桑畑,1,POINT (140.74586399861 38.51415816481496)
456,花川,277,鳴瀬川,花川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,26.4,76.5,10,233,都道府県,1964,宮城県加美郡色麻町欠入,4,POINT (140.7727816354783 38.49665220131267)
457,嘉太神,274,鳴瀬川,吉田川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",27,101,140,854,市区町村,1937,宮城県黒川郡大和町吉田字中見山,1,POINT (140.7647685705577 38.46832502812813)
458,南川,278,鳴瀬川,南川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",46,355,244,10000,都道府県,1987,宮城県黒川郡大和町吉田字鎌房北,1,POINT (140.8214863812655 38.43473174036355)
459,宮床,281,鳴瀬川,宮床川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",48,256,329,5000,都道府県,1998,宮城県黒川郡大和町摺萩,1,POINT (140.8222562498553 38.38693613861135)
460,牛野,275,鳴瀬川,善川,ロックフィルダム,灌漑，特定(新規)灌漑用水,21.4,160.1,114,500,都道府県,1972,宮城県黒川郡大衡村大瓜字牛野,1,POINT (140.8115883692989 38.47935245696195)
461,惣の関,284,砂押川,勿来川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",23.5,115,16,1100,都道府県,1999,宮城県宮城郡利府町森郷地先,1,POINT (140.9892066959625 38.34332373896245)
462,七北田,285,七北田川,七北田川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",74,420,2755,9200,都道府県,1984,宮城県仙台市泉区福岡字蒜但木向,1,POINT (140.7375101715558 38.35722649746204)
463,釜房,287,名取川,碁石川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,工業用水道用水,発電",45.5,177,100,45300,国土交通省（各地方整備局，北海道開発局含む）,1970,宮城県柴田郡川崎町大字小野字大平山,1,POINT (140.6971718084359 38.20222596340222)
464,大倉,293,名取川,大倉川,マルティプルアーチダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水,発電",82,323,226,28000,国土交通省（各地方整備局，北海道開発局含む）,1961,宮城県仙台市青葉区大倉字高棚,1,POINT (140.7057381261122 38.32160478801318)
465,青下第3,290,名取川,青下川,重力式コンクリートダム,上水道用水,17.7,60.4,-9999,264,市区町村,1933,宮城県仙台市青葉区大倉字藪畑,2,POINT (140.6910587112162 38.30813198667599)
466,青下第2,288,名取川,青下川,重力式コンクリートダム,上水道用水,17.4,39.2,-9999,212,市区町村,1933,宮城県仙台市青葉区大倉字鳥谷峯,2,POINT (140.6960330107042 38.30215159803943)
467,青下第1,292,名取川,青下川,重力式コンクリートダム,上水道用水,17.4,43.4,-9999,114,市区町村,1933,宮城県仙台市青葉区大倉字大原新田,2,POINT (140.6946685862986 38.29830669570199)
468,愛子溜池,289,名取川,斉勝川,アースダム,灌漑，特定(新規)灌漑用水,16.7,114,79,1200,市区町村,1949,宮城県仙台市青葉区宮城町上愛子,2,POINT (140.7532464502084 38.26050525122737)
469,樽水,291,名取川,増田川,ロックフィルダム,"洪水調節，農地防災,上水道用水",43,256.5,244,4700,都道府県,1976,宮城県名取市高館字長畑,1,POINT (140.8422385587414 38.17850106987947)
470,七ヶ宿,301,阿武隈川,白石川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水",90,565,5201,109000,国土交通省（各地方整備局，北海道開発局含む）,1991,宮城県刈田郡七ヶ宿町字切通,1,POINT (140.5126510370738 37.959479165867)
471,川原子,315,阿武隈川,白石川,アースダム,灌漑，特定(新規)灌漑用水,20,121,55,2333,都道府県,1969,宮城県白石市福岡字八宮,1,POINT (140.5262600413979 38.0369692608269)
472,村田,296,阿武隈川,荒川,アースダム,灌漑，特定(新規)灌漑用水,36.7,182,273,1660,都道府県,1979,宮城県柴田郡村田町足立,1,POINT (140.6876138678845 38.14885542404122)
473,川内沢,286,名取川,川内沢川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",37,138,44,1700,都道府県,-,宮城県名取市愛島笠島地先,4,POINT (140.8305137997032 38.15539416525279)
474,相川,248,北上川,相川,ロックフィルダム,灌漑，特定(新規)灌漑用水,40.3,168,344,1770,農林水産省（各地方農政局含む）,1996,"宮城県登米市東和町字錦織,岩手県東磐井郡藤沢町字下中山",1,POINT (141.2830555672467 38.79558201188239)
475,山梨（上）,295,阿武隈川,笠島川,アースダム,灌漑，特定(新規)灌漑用水,16,70,19,17,市区町村,1957,宮城県角田市笠島,3,POINT (140.7112181051965 37.96701076817778)
476,南川鞍部,282,鳴瀬川,吉田川,アスファルトフェイシングダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",19.6,224,100,-9999,都道府県,1987,宮城県黒川郡大和町吉田字鎌房北,2,POINT (140.8245561056378 38.4271141994647)
477,大志田,207,馬淵川,平糠川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,63.7,165,148,11300,農林水産省（各地方農政局含む）,2004,岩手県二戸郡一戸町字別字道白,1,POINT (141.2955920015687 40.08911966490456)
478,荒沢1号,204,馬淵川,安比川,ロックフィルダム,洪水調節，農地防災,38,157.7,229,2139,都道府県,1972,岩手県八幡平市安比,2,POINT (140.9342388570599 40.01489501091079)
479,荒沢2号,206,馬淵川,鍋越川,ロックフィルダム,洪水調節，農地防災,45.5,246.6,577,899,都道府県,1989,岩手県八幡平市字鍋越山国有林,2,POINT (140.9446964677735 40.03490379926744)
480,荒沢3号,208,馬淵川,白沢川,アースダム,洪水調節，農地防災,22,155,134,1194,都道府県,1960,岩手県八幡平市鍋越山国有林57林班,2,POINT (140.9590596950068 40.04441337933964)
481,瀬月内,212,新田川,瀬月内川,ロックフィルダム,灌漑，特定(新規)灌漑用水,38.5,144.5,190,1250,都道府県,1987,岩手県久慈市山形町来内,1,POINT (141.4935442439555 40.11423972802217)
482,雪谷川,210,新井田川,雪谷川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",28.4,107.3,27,2662,都道府県,1977,岩手県九戸郡軽米町小軽米,1,POINT (141.5165760154449 40.2912218715183)
483,大野,213,高家川,オリバ川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,26,108.3,23,700,都道府県,2004,岩手県九戸郡洋野町水沢第5地割,1,POINT (141.6488964123147 40.24804741635799)
484,滝,214,久慈川,長内川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,発電",70,187,220,7600,都道府県,1982,岩手県久慈市小久慈町1地割,1,POINT (141.7234752095787 40.15156233768741)
485,普代,215,大沢川,大沢川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,37.3,97,42,1130,都道府県,1997,岩手県下閉伊郡普代村,1,POINT (141.902517920092 39.99726301963115)
486,大沢,216,閉伊川,大沢川,重力式コンクリートダム,発電,30.8,67,15,170,電力会社・電源開発株式会社,1943,岩手県宮古市腹帯第4地割字清水,2,POINT (141.743975997453 39.58696515776513)
487,日向,217,甲子川,小川川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",56.5,290,241,5700,都道府県,1997,岩手県釜石市小川町日向,1,POINT (141.7978032526697 39.29305883477823)
488,綾里川,218,綾里川,綾里川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",43,154,70,486,都道府県,2000,岩手県大船渡市三陸町綾里字熊ノ入,2,POINT (141.7785468741176 39.06248952848492)
489,鷹生,219,盛川,鷹生川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",77,322,328,9680,都道府県,2006,岩手県大船渡市日頃市町大字上甲子,1,POINT (141.7020085101706 39.15562447705425)
490,津付,220,気仙川,大股川,重力式コンクリートダム,洪水調節，農地防災,48.6,165,105,5600,都道府県,-,岩手県気仙郡住田町世田米字子飼沢,4,POINT (141.4519249281138 39.15086647071532)
491,四十四田,246,北上川,北上川,重力式コンクリートダム・フィルダム複合ダム,"洪水調節，農地防災,発電",50,480,382,47100,国土交通省（各地方整備局，北海道開発局含む）,1968,岩手県盛岡市上田字松屋敷,1,POINT (141.1486241202608 39.7526306991184)
492,岩洞,238,北上川,丹藤川,ロックフィルダム,"灌漑，特定(新規)灌漑用水,発電",40,351,850,65600,農林水産省（各地方農政局含む）,1960,岩手県盛岡市玉山区薮川,2,POINT (141.3732375856847 39.82679472574019)
493,一方井,255,北上川,一方井川,ロックフィルダム,灌漑，特定(新規)灌漑用水,40,390,831,2240,都道府県,1990,岩手県岩手郡岩手町一方井,1,POINT (141.1332262945005 40.01426546433205)
494,綱取,226,北上川,中津川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",59,247,201,15000,都道府県,1982,岩手県盛岡市新庄字貝田,1,POINT (141.2045115294857 39.71110004272891)
495,外山,265,北上川,外山川,重力式コンクリートダム,発電,33,121,27,3751,電力会社・電源開発株式会社,1943,岩手県盛岡市大字浅岸第20地割字大志田川,1,POINT (141.2834779985815 39.77544676815228)
496,御所,254,北上川,雫石川,重力式コンクリートダム・フィルダム複合ダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,発電",52.5,327,1200,65000,国土交通省（各地方整備局，北海道開発局含む）,1981,岩手県盛岡市繋字山根,1,POINT (141.0289688129571 39.69343515047862)
497,外桝沢,234,北上川,外桝沢川,重力式コンクリートダム,洪水調節，農地防災,22.5,169,29,994,都道府県,1961,岩手県岩手郡雫石町矢櫃山,1,POINT (140.9701940393532 39.61365130286423)
498,レン滝,243,北上川,南畑川,重力式コンクリートダム,洪水調節，農地防災,37.7,170,53,1869,都道府県,1968,岩手県岩手郡雫石町矢櫃山,1,POINT (140.9127960260289 39.56958861403944)
499,鶯宿,239,北上川,鶯宿川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",17.5,67,6,1793,都道府県,1957,岩手県岩手郡雫石町大字鶯宿第2地割,1,POINT (140.8936163978657 39.61389925617635)
500,矢櫃,229,北上川,矢櫃川,ロックフィルダム,洪水調節，農地防災,33.5,140,151,927,都道府県,1981,岩手県岩手郡雫石町西安庭,1,POINT (141.0099966388667 39.6152590748443)
501,簗川,247,北上川,簗川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",77.2,249,207,19100,都道府県,-,岩手県盛岡市川目第1地割字長ロウハナ,4,POINT (141.2627959061267 39.67276626148141)
502,煙山,259,北上川,岩崎川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",21.8,528.5,457,1410,農林水産省（各地方農政局含む）,1967,岩手県紫波郡矢巾町大字煙山,1,POINT (141.0990945472244 39.61631123949359)
503,山王海（元）,252,北上川,滝名川,アースダム,灌漑，特定(新規)灌漑用水,37.4,150,276,9594,農林水産省（各地方農政局含む）,1952,岩手県紫波郡紫波町土館,1,POINT (141.0633809036244 39.54744659177944)
504,山王海（再）,253,北上川,滝名川,ロックフィルダム,灌漑，特定(新規)灌漑用水,61.5,241.6,1290,38400,農林水産省（各地方農政局含む）,2001,岩手県紫波郡紫波町土館,1,POINT (141.0633809036244 39.54744659177944)
505,大明神溜池,262,北上川,滝名川,アースダム,"灌漑，特定(新規)灌漑用水,上水道用水",18.8,70,104,12,利水組合・用水組合,1650,岩手県紫波郡紫波町片寄字大明神,4,POINT (141.1014642374478 39.51707193035283)
506,葛丸,242,北上川,葛丸川,ロックフィルダム,灌漑，特定(新規)灌漑用水,51.7,220,670,5000,農林水産省（各地方農政局含む）,1991,岩手県花巻市石鳥谷町大瀬川,1,POINT (141.0528597973469 39.51291492181294)
507,早池峰,249,北上川,稗貫川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,工業用水道用水,発電",73.5,333,333,17250,都道府県,2000,岩手県花巻市大迫町白岩,1,POINT (141.3392436520873 39.53198737839523)
508,田瀬,222,北上川,猿ヶ石川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,発電",81.5,320,420,146500,国土交通省（各地方整備局，北海道開発局含む）,1954,岩手県花巻市東和町田瀬,1,POINT (141.3189175371334 39.34306828665258)
509,遠野第2,257,北上川,来内川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",23.1,87.5,20,248,都道府県,2010,岩手県遠野市遠野町,1,POINT (141.5294558970212 39.31945070769012)
510,遠野,240,北上川,猿ヶ石川,重力式コンクリートダム,洪水調節，農地防災,26.5,181.5,31,1030,都道府県,1957,岩手県遠野市遠野町字栃洞,1,POINT (141.5354474499182 39.30618786252776)
511,豊沢,258,北上川,豊沢川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,59.1,150,130,23356,農林水産省（各地方農政局含む）,1961,岩手県花巻市南豊沢国有林,1,POINT (140.9743524545431 39.48054507907416)
512,湯田,245,北上川,和賀川,重力式アーチダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,発電",89.5,265,379,114160,国土交通省（各地方整備局，北海道開発局含む）,1964,岩手県和賀郡西和賀町杉名畑44-162-15,1,POINT (140.884937829084 39.30173922279649)
513,石羽根,244,北上川,和賀川,重力式コンクリートダム・フィルダム複合ダム,発電,20.5,283,38,4050,その他の企業,1953,岩手県北上市和賀町横川目4地割,1,POINT (140.9540776394227 39.30510016968755)
514,時戸沢溜池,223,北上川,時戸沢川,アースダム,灌漑，特定(新規)灌漑用水,16,105,27,54,土地改良区,1988,岩手県北上市和賀町横川目字戸花,2,POINT (140.9644144538071 39.33996689736947)
515,入畑,233,北上川,夏油川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,工業用水道用水,発電",80,233,293,15400,都道府県,1990,岩手県北上市和賀町大字岩崎新田字入畑,1,POINT (140.9500269397328 39.23956611154124)
516,岩崎農場溜池,235,北上川,熊沢,アースダム,灌漑，特定(新規)灌漑用水,24.2,81.6,85,820,利水組合・用水組合,1938,岩手県北上市和賀町岩崎字岩崎新田,2,POINT (140.9872429297697 39.26107162573967)
517,千貫石（再）,224,北上川,宿内川,アースダム,灌漑，特定(新規)灌漑用水,31.3,247.5,297,5168,都道府県,1934,岩手県胆沢郡金ヶ崎町西根字鷹巣,1,POINT (141.0092411456506 39.22470815194495)
518,橇引沢溜池,250,北上川,黒沢川,アースダム,灌漑，特定(新規)灌漑用水,23.5,142,213,1686,個人,1935,岩手県胆沢郡金ヶ崎町西根字駒丘,1,POINT (141.010644173341 39.2142789893231)
519,胆沢（再）,264,北上川,胆沢川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,発電",127,723,13500,143000,国土交通省（各地方整備局，北海道開発局含む）,2013,岩手県奥州市胆沢区若柳,1,POINT (140.920753017864 39.1220842541279)
520,石淵（元）,263,北上川,胆沢川,ロックフィルダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,発電",53,345,443,16150,国土交通省（各地方整備局，北海道開発局含む）,1953,岩手県奥州市胆沢区若柳字尿前,4,POINT (140.9037332747601 39.11313540265127)
521,衣川1号,261,北上川,北股川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",35.5,212,384,2970,都道府県,1963,岩手県奥州市衣川区上衣川字増沢,2,POINT (140.9661098423425 39.09984930600018)
522,衣川4号,231,北上川,三沢川,ロックフィルダム,洪水調節，農地防災,33,135,217,570,都道府県,1995,岩手県奥州市衣川区字国見,1,POINT (141.0037522779287 39.06160569557245)
523,衣川2号,241,北上川,南股川,重力式コンクリートダム・フィルダム複合ダム,洪水調節，農地防災,34,251,80,2360,都道府県,1971,岩手県奥州市衣川区上衣川字上河内,2,POINT (141.0130292874437 39.00407118291552)
524,衣川3号,266,北上川,北沢川,ロックフィルダム,洪水調節，農地防災,41,180,343,1790,都道府県,1987,岩手県奥州市衣川区上衣川,1,POINT (141.0325775571628 39.0229169704219)
525,衣川5号,225,北上川,滝沢川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",20.5,73.5,51,283,都道府県,1954,岩手県奥州市衣川区下衣川字後滝の沢,1,POINT (141.0638150334071 39.00978483767926)
526,金越沢,230,北上川,黄海川,ロックフィルダム,灌漑，特定(新規)灌漑用水,43,338,635,1160,都道府県,2004,岩手県一関市藤沢町保呂羽地内,1,POINT (141.3936250646304 38.84358036954362)
527,千松,260,北上川,二股川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,26.8,111,22,260,農林水産省（各地方農政局含む）,1998,岩手県一関市藤沢町大篭,1,POINT (141.4134143967954 38.80088488596851)
528,根石,323,米代川,根石川,ロックフィルダム,洪水調節，農地防災,41,187.6,408,1425,都道府県,2000,岩手県八幡平市根石,1,POINT (140.9654870320491 40.18482733406762)
529,佐比内溜池,256,北上川,猫川,アースダム,灌漑，特定(新規)灌漑用水,27,92,60,650,都道府県,1982,岩手県遠野市上郷町大開山15林班,2,POINT (141.6606850611244 39.30156506920192)
530,深山,552,那珂川,那珂川,アスファルトフェイシングダム,"灌漑，特定(新規)灌漑用水,上水道用水,発電",75.5,333.8,1967,25800,農林水産省（各地方農政局含む）,1973,栃木県那須塩原市百村字深山,1,POINT (139.9041417641049 37.08880879047476)
531,板室,560,那珂川,那珂川,重力式コンクリートダム,発電,16.8,76,11,260,都道府県,1973,栃木県那須塩原市大字板室字程久保841,4,POINT (139.928902579157 37.0591524860444)
532,菅又調整池,546,那珂川,荒川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,28.4,105,25,490,農林水産省（各地方農政局含む）,2002,栃木県芳賀郡茂木町大字上菅又地内,1,POINT (140.1514049520269 36.550206503216)
533,千振,543,那珂川,黒川支流,ロックフィルダム,灌漑，特定(新規)灌漑用水,23,130,90,354,都道府県,1971,栃木県那須郡那須町豊原,2,POINT (140.0989497419291 37.09436433568793)
534,矢の目,544,那珂川,板敷川,ロックフィルダム,灌漑，特定(新規)灌漑用水,29,187,593,1100,都道府県,1990,栃木県那須郡那須町豊原,1,POINT (140.1517645954508 37.06891503377777)
535,塩原,556,那珂川,箒川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水",60,240,115,8760,都道府県,1978,栃木県那須塩原市大字関谷字西山,1,POINT (139.8846785608275 36.95170556202715)
536,八汐,564,那珂川,鍋有沢川,アスファルトフェイシングダム,発電,90.5,263,2109,11900,電力会社・電源開発株式会社,1992,栃木県那須塩原市百村・那須郡塩原町下塩,1,POINT (139.8529832856235 36.98583242070367)
537,蛇尾川,561,那珂川,小蛇尾川,重力式コンクリートダム,発電,104,273,590,10500,電力会社・電源開発株式会社,1993,栃木県那須塩原市百村,1,POINT (139.8685036416408 36.99512378122637)
538,塩田調整池,548,那珂川,荒川,ロックフィルダム,灌漑，特定(新規)灌漑用水,29,460,544,1580,農林水産省（各地方農政局含む）,2000,栃木県芳賀郡市貝町大字竹内,2,POINT (140.1155661641548 36.61583166632714)
539,東荒川,563,那珂川,荒川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,発電",70,290,222,6100,都道府県,1990,栃木県塩谷郡塩谷町上寺島,1,POINT (139.828788074136 36.84722111907409)
540,西荒川,562,那珂川,西荒川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",43.5,116,41,4300,都道府県,1968,栃木県塩谷郡塩谷町大字上寺島字柄沢,1,POINT (139.8084878716795 36.81678405348107)
541,塩田,547,那珂川,簗目川,ロックフィルダム,灌漑，特定(新規)灌漑用水,26.1,218,268,460,都道府県,2000,栃木県矢板市大字塩田,1,POINT (139.8744535056105 36.82606485251654)
542,寺山,559,那珂川,宮川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",62.2,260,1350,2550,都道府県,1984,栃木県矢板市長井字石切場,1,POINT (139.8651492477501 36.84697112054622)
543,沼原,550,那珂川,那珂川,アスファルトフェイシングダム,発電,38,1597,1260,4336,電力会社・電源開発株式会社,1973,栃木県那須塩原市大字板室,2,POINT (139.9284006820828 37.10386034286112)
544,庚申,588,利根川,庚申川,重力式コンクリートダム,発電,29,55.9,13,195,都道府県,1985,栃木県日光市足尾町字榎坂,2,POINT (139.4210343821894 36.63098227275891)
545,松田川,578,利根川,松田川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",56,228,166,1900,都道府県,1995,栃木県足利市松田町,1,POINT (139.4250064912038 36.42638810666666)
546,南摩,608,利根川,思川,ロックフィルダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",86.5,350,2400,51000,水資源機構（旧水資源開発公団）,2015,栃木県鹿沼市上南摩町,4,POINT (139.6695474443403 36.55040791670108)
547,赤川,600,利根川,赤川,アスファルトフェイシングダム,灌漑，特定(新規)灌漑用水,17.5,221,114,327,都道府県,1970,栃木県宇都宮市福岡町細野,1,POINT (139.7904316831323 36.61998804480334)
548,川俣,629,利根川,鬼怒川,アーチダム,"洪水調節，農地防災,不特定用水，河川維持用水,発電",117,131,147,87600,国土交通省（各地方整備局，北海道開発局含む）,1966,栃木県日光市川俣,1,POINT (139.5202869078764 36.87791597857409)
549,黒部,627,利根川,鬼怒川,重力式コンクリートダム,発電,28.7,150,78,2366,電力会社・電源開発株式会社,1912,栃木県日光市黒部,1,POINT (139.6100663781695 36.86923183525104)
550,川治,626,利根川,鬼怒川,アーチダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水",140,320,700,83000,国土交通省（各地方整備局，北海道開発局含む）,1983,栃木県日光市川治温泉川治,1,POINT (139.6929859728 36.89870180352308)
551,小網,632,利根川,鬼怒川,重力式コンクリートダム,発電,23.5,128,20,627,都道府県,1958,栃木県日光市藤原字小網1073地先,2,POINT (139.7022271362642 36.88388666349915)
552,中岩,631,利根川,鬼怒川,重力式コンクリートダム,発電,26.3,107.9,12,1488,電力会社・電源開発株式会社,1924,栃木県日光市高徳,4,POINT (139.7041222656918 36.78640221711822)
553,西古屋,601,利根川,白石川,重力式コンクリートダム,発電,21.5,189.7,16,547,電力会社・電源開発株式会社,1963,栃木県塩谷郡塩谷町船生西古屋,1,POINT (139.7534434816991 36.79475355230361)
554,土呂部,619,利根川,土呂部川,重力式コンクリートダム,発電,21.6,56,8,225,電力会社・電源開発株式会社,1963,栃木県日光市土呂部,1,POINT (139.5845493482461 36.8751639171296)
555,五十里,640,利根川,男鹿川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,発電",112,267,468,55000,国土交通省（各地方整備局，北海道開発局含む）,1956,栃木県日光市川治温泉川治,1,POINT (139.7054836267441 36.90275051195339)
556,湯西川,584,利根川,湯西川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水",119,320,1060,75000,国土交通省（各地方整備局，北海道開発局含む）,2012,栃木県日光市西川地先,1,POINT (139.6626858198817 36.93617933725214)
557,三河沢,586,利根川,三河沢川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",48.5,97.5,58,899,都道府県,2003,栃木県日光市湯西川,1,POINT (139.549714216237 36.95478527695845)
558,逆川,618,利根川,逆川,アースダム,発電,18.2,121.2,72,92,電力会社・電源開発株式会社,1912,栃木県日光市鬼怒川温泉滝,2,POINT (139.6860096331044 36.85086014909922)
559,栗山,624,利根川,ネベ沢川,ロックフィルダム,発電,97.5,340,2517,7070,電力会社・電源開発株式会社,1988,栃木県日光市佐下郡字平田ヶ嶽,1,POINT (139.6532087370195 36.85234824886849)
560,今市,625,利根川,砥川,重力式コンクリートダム,発電,75.5,177,192,9100,電力会社・電源開発株式会社,1988,栃木県日光市佐下部字東又,1,POINT (139.6663982391972 36.82555462481478)
561,中禅寺（元）,633,利根川,大谷川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,発電",6.4,25.1,2,25100,都道府県,1959,栃木県日光市中宮祠,1,POINT (139.4992436662135 36.73863869788931)
562,中禅寺（再）,634,利根川,大谷川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,発電",6.4,25.1,2,25100,都道府県,1998,栃木県日光市中宮祠,1,POINT (139.4992539617855 36.73863044730262)
